ACM Turing Award|1990|Fernando José Corbató|Male|United States|1926
Fields Medal|1998|W. Timothy Gowers|Male|United Kingdom|1963
Nobel Prize for peace|2008|Martti Ahtisaari|Male|Finland|1937
Nobel Prize for economics|2010|Peter A. Diamond|Male|United States|1940
Nobel Prize for medicine|1936|Otto Loewi|Male|Austria|1873
Nobel Prize for medicine|1993|Richard J. Roberts|Male|United Kingdom|1943
Nobel Prize for physics|1919|Johannes Stark|Male|Germany|1874
Nobel Prize for physics|2001|Eric A. Cornell|Male|United States|1961
Nobel Prize for chemistry|1965|Robert B. Woodward|Male|United States|1917
Nobel Prize for medicine|1978|Werner Arber|Male|Switzerland|1929
ACM Turing Award|2015|Martin Edward Hellman|Male|United States|1945
Nobel Prize for economics|1989|Trygve Haavelmo|Male|Norway|1911
Nobel Prize for medicine|1976|Baruch S. Blumberg|Male|United States|1925
Nobel Prize for medicine|1950|Tadeus Reichstein|Male|Switzerland|1897
Nobel Prize for chemistry|1997|John E. Walker|Male|United Kingdom|1941
Nobel Prize for physics|1967|Hans Bethe|Male|United States|1906
Nobel Prize for physics|2009|Charles K. Kao|Male|China|1933
Nobel Prize for peace|1960|Albert Lutuli|Male|South Africa|1898
Nobel Prize for economics|1997|Myron S. Scholes|Male|United States|1941
Nobel Prize for literature|1994|Kenzaburo Oe|Male|Japan|1935
Nobel Prize for chemistry|1903|Svante Arrhenius|Male|Sweden|1859
Nobel Prize for physics|1943|Otto Stern|Male|United States|1888
Nobel Prize for chemistry|2015|Aziz Sancar|Male|Turkey|1946
Nobel Prize for peace|1912|Elihu Root|Male|United States|1845
Nobel Prize for literature|1954|Ernest Hemingway|Male|United States|1899
Nobel Prize for physics|2021|Syukuro Manabe|Male|Japan|1931
Nobel Prize for medicine|2002|Sydney Brenner|Male|United Kingdom|1927
Nobel Prize for literature|1956|Juan Ramón Jiménez|Male|Spain|1881
Nobel Prize for literature|1988|Naguib Mahfouz|Male|Egypt|1911
Nobel Prize for medicine|1991|Bert Sakmann|Male|Germany|1942
Nobel Prize for physics|1994|Clifford G. Shull|Male|United States|1915
Nobel Prize for physics|1904|Lord Rayleigh |Male|United Kingdom|1842
ACM Turing Award|1967|Maurice Vincent Wilkes|Male|United Kingdom|1913
Nobel Prize for chemistry|1992|Rudolph A. Marcus|Male|United States|1923
Nobel Prize for economics|2021|Joshua D. Angrist|Male|Israel|1960
Nobel Prize for physics|2006|John C. Mather|Male|United States|1946
Nobel Prize for chemistry|2000|Alan G. MacDiarmid|Male|United States|1927
Fields Medal|1990|Shigefumi Mori|Male|Japan|1951
Fields Medal|2018|Caucher Birkar|Male|United Kingdom|1978
Nobel Prize for medicine|1984|Georges J.F. Köhler|Male|Germany|1946
Nobel Prize for chemistry|1931|Carl Bosch|Male|Germany|1874
Nobel Prize for chemistry|1929|Hans von Euler-Chelpin|Male|Sweden|1873
Nobel Prize for chemistry|1980|Paul Berg|Male|United States|1926
Nobel Prize for physics|2006|George F. Smoot|Male|United States|1945
Nobel Prize for chemistry|2016|Sir James Fraser Stoddart|Male|United Kingdom|1942
ACM Turing Award|1986|John E. Hopcroft|Male|United States|1939
Nobel Prize for medicine|2015|William C. Campbell|Male|Ireland|1930
Nobel Prize for chemistry|1934|Harold C. Urey|Male|United States|1893
Nobel Prize for literature|1921|Anatole France|Male|France|1844
Nobel Prize for chemistry|2019|Yoshino Akira|Male|Japan|1948
Fields Medal|2006|Andrei Okounkov|Male|Russia|1969
Nobel Prize for chemistry|1962|Max F. Perutz|Male|United Kingdom|1914
Nobel Prize for economics|1996|William Vickrey|Male|United States|1914
Nobel Prize for chemistry|2017|Jacques Dubochet|Male|Switzerland|1942
ACM Turing Award|1974|Donald Ervin Knuth|Male|United States|1938
Nobel Prize for physics|1976|Burton Richter|Male|United States|1931
Nobel Prize for peace|1998|David Trimble|Male|United Kingdom|1944
Nobel Prize for medicine|2015|Youyou Tu|Female|China|1930
ACM Turing Award|2004|Vinton Gray Cerf|Male|United States|1943
Nobel Prize for medicine|1964|Feodor Lynen|Male|Germany|1911
Nobel Prize for peace|1931|Jane Addams|Female|United States|1860
ACM Turing Award|2011|Judea Pearl|Male|United States|1936
Nobel Prize for physics|2004|David J. Gross|Male|United States|1941
Nobel Prize for literature|2010|Mario Vargas Llosa|Male|Peru|1936
Nobel Prize for economics|1994|Reinhard Selten|Male|Germany|1930
ACM Turing Award|2007|Ernest Allen Emerson|Male|United States|1954
Nobel Prize for economics|1969|Ragnar Frisch|Male|Norway|1895
Nobel Prize for literature|1979|Odysseus Elytis|Male|Greece|1911
Nobel Prize for medicine|1953|Hans Krebs|Male|United Kingdom|1900
Nobel Prize for literature|1982|Gabriel García Márquez|Male|Colombia|1928
Nobel Prize for medicine|2000|Eric R. Kandel|Male|United States|1929
Nobel Prize for literature|1905|Henryk Sienkiewicz|Male|Poland|1846
Nobel Prize for economics|2003|Clive W.J. Granger|Male|United Kingdom|1934
Nobel Prize for medicine|1953|Fritz Lipmann|Male|United States|1899
Nobel Prize for literature|1928|Sigrid Undset|Female|Norway|1882
Nobel Prize for medicine|1994|Alfred G. Gilman|Male|United States|1941
Nobel Prize for peace|1964|Martin Luther King|Male|United States|1929
Nobel Prize for literature|1906|Giosuè Carducci|Male|Italy|1835
Nobel Prize for economics|1979|Theodore W. Schultz|Male|United States|1902
Nobel Prize for physics|1944|Isidor Isaac Rabi|Male|United States|1898
Nobel Prize for chemistry|2012|Robert J. Lefkowitz|Male|United States|1943
Nobel Prize for literature|1909|Selma Lagerlöf|Female|Sweden|1858
