poll|position|artist|track
Of The Decade '20|1|Tame Impala|The Less I Know The Better
Of The Decade '20|2|Gotye|Somebody That I Used To Know {Ft. Kimbra}
Of The Decade '20|3|Arctic Monkeys|Do I Wanna Know?
Of The Decade '20|4|Violent Soho|Covered In Chrome
Of The Decade '20|5|RÜFÜS DU SOL|Innerbloom
Of The Decade '20|6|Gang of Youths|Magnolia
Of The Decade '20|7|Foster The People|Pumped Up Kicks
Of The Decade '20|8|Flume|Never Be Like You {Ft. Kai}
Of The Decade '20|9|Angus & Julia Stone|Big Jet Plane
Of The Decade '20|10|Matt Corby|Brother
Of The Decade '20|11|Nick Murphy / Chet Faker|Talk Is Cheap
Of The Decade '20|12|alt-J|Breezeblocks
Of The Decade '20|13|Vance Joy|Riptide
Of The Decade '20|14|Kanye West|Runaway {ft. Pusha T}
Of The Decade '20|15|Sticky Fingers|Australia Street
Of The Decade '20|16|Lorde|Royals
Of The Decade '20|17|Ball Park Music|It's Nice To Be Alive
Of The Decade '20|18|Flume|Holdin On
Of The Decade '20|19|Gang of Youths|Let Me Down Easy
Of The Decade '20|20|Hilltop Hoods|Cosby Sweater
Of The Decade '20|21|DMA'S|Delete
Of The Decade '20|22|M83|Midnight City
Of The Decade '20|23|Kendrick Lamar|King Kunta
Of The Decade '20|24|JAY-Z & Kanye West|Ni**as In Paris
Of The Decade '20|25|Flight Facilities|Clair De Lune {Ft. Christine Hoberg}
Of The Decade '20|26|Tame Impala|Let It Happen
Of The Decade '20|27|Childish Gambino|3005
Of The Decade '20|28|Childish Gambino|Redbone
Of The Decade '20|29|Lana Del Rey|Video Games
Of The Decade '20|30|Of Monsters and Men|Little Talks
Of The Decade '20|31|The Wombats|Tokyo (Vampires & Wolves)
Of The Decade '20|32|Peking Duk|High {Ft. Nicole Millar}
Of The Decade '20|33|Sticky Fingers|Rum Rage
Of The Decade '20|34|Frank Ocean|Lost
Of The Decade '20|35|Ocean Alley|Confidence
Of The Decade '20|36|Hilltop Hoods|1955 {Ft. Montaigne & Tom Thum}
Of The Decade '20|37|Milky Chance|Stolen Dance
Of The Decade '20|38|Avicii|Levels
Of The Decade '20|39|Flight Facilities|Crave You {ft. Giselle}
Of The Decade '20|40|Disclosure|Latch {Ft. Sam Smith}
Of The Decade '20|41|DMA'S|Believe {triple j Like A Version 2016}
Of The Decade '20|42|Arctic Monkeys|R U Mine?
Of The Decade '20|43|Angus & Julia Stone|Chateau
Of The Decade '20|44|Florence + The Machine|Shake It Out
Of The Decade '20|45|The Black Keys|Lonely Boy
Of The Decade '20|46|The Rubens|Hoops
Of The Decade '20|47|Mumford & Sons|I Will Wait
Of The Decade '20|48|Hermitude|HyperParadise {Flume Remix}
Of The Decade '20|49|Tash Sultana|Jungle
Of The Decade '20|50|Daft Punk|Get Lucky {Ft. Pharrell Williams & Nile Rodgers}
Of The Decade '20|51|Amy Shark|Adore
Of The Decade '20|52|Gang of Youths|The Deepest Sighs, The Frankest Shadows
Of The Decade '20|53|Sia|Chandelier
Of The Decade '20|54|Grouplove|Tongue Tied
Of The Decade '20|55|Skrillex|Bangarang {Ft. Sirah}
Of The Decade '20|56|Macklemore & Ryan Lewis, Wanz|Thrift Shop {Ft. Wanz}
Of The Decade '20|57|Kendrick Lamar|HUMBLE.
Of The Decade '20|58|Sticky Fingers|Gold Snafu
