poll|position|artist|track
Of The Decade '20|1|Tame Impala|The Less I Know The Better
Of The Decade '20|2|Gotye|Somebody That I Used To Know {Ft. Kimbra}
Of The Decade '20|3|Arctic Monkeys|Do I Wanna Know?
Of The Decade '20|4|Violent Soho|Covered In Chrome
Of The Decade '20|5|RÜFÜS DU SOL|Innerbloom
Of The Decade '20|6|Gang of Youths|Magnolia
Of The Decade '20|7|Foster The People|Pumped Up Kicks
Of The Decade '20|8|Flume|Never Be Like You {Ft. Kai}
Of The Decade '20|9|Angus & Julia Stone|Big Jet Plane
Of The Decade '20|10|Matt Corby|Brother
Of The Decade '20|11|Nick Murphy / Chet Faker|Talk Is Cheap
Of The Decade '20|12|alt-J|Breezeblocks
Of The Decade '20|13|Vance Joy|Riptide
Of The Decade '20|14|Kanye West|Runaway {ft. Pusha T}
Of The Decade '20|15|Sticky Fingers|Australia Street
Of The Decade '20|16|Lorde|Royals
Of The Decade '20|17|Ball Park Music|It's Nice To Be Alive
Of The Decade '20|18|Flume|Holdin On
Of The Decade '20|19|Gang of Youths|Let Me Down Easy
Of The Decade '20|20|Hilltop Hoods|Cosby Sweater
2020|1|Glass Animals|Heat Waves
2020|2|Spacey Jane|Booster Seat
2020|3|Flume|The Difference [Ft. Toro y Moi]
2020|4|Ball Park Music|Cherub
2020|5|Tame Impala|Lost In Yesterday
2020|6|Cardi B|WAP [Ft. Megan Thee Stallion]
2020|7|G Flip|Hyperfine
2020|8|The Jungle Giants|Sending Me Ur Loving
2020|9|Hilltop Hoods|I'm Good?
2020|10|Billie Eilish|Therefore I Am
2020|11|Lime Cordiale|On Our Own
2020|12|Mashd N Kutcher|Get On The Beers [Ft. Dan Andrews]
2020|13|Mallrat|Rockstar
2020|14|Ocean Alley|Tombstone
2020|15|Spacey Jane|Skin
2020|16|Lime Cordiale|Screw Loose
2020|17|Tame Impala|Is It True
2020|18|Glass Animals|Tangerine
2020|19|Halsey|you should be sad
2020|20|Lime Cordiale|Addicted To The Sunshine
2019|1|Billie Eilish|bad guy
2019|2|Flume|Rushing Back {Ft. Vera Blue}
2019|3|Mallrat|Charlie
2019|4|Tones and I|Dance Monkey
2019|5|Denzel Curry|Bulls On Parade {triple j Like A Version 2019}
2019|6|G Flip|Drink Too Much
2019|7|Lime Cordiale|Robbery
2019|8|The Jungle Giants|Heavy Hearted
2019|9|Thelma Plum|Better In Blak
2019|10|Hilltop Hoods|Exit Sign {Ft. Illy/Ecca Vandal}
2019|11|Post Malone|Circles
2019|12|FIDLAR|By Myself
2019|13|Lime Cordiale|Inappropriate Behaviour
2019|14|Sofi Tukker|Purple Hat
2019|15|Tones and I|Never Seen The Rain
2019|16|Billie Eilish|everything i wanted
2019|17|Lime Cordiale|I Touch Myself {triple j Like A Version 2019}
2019|18|Tame Impala|Borderline
2019|19|BENEE|Glitter
2019|20|DMA'S|Silver
2018|1|Ocean Alley|Confidence
2018|2|FISHER|Losing It
2018|3|Travis Scott|SICKO MODE
2018|4|Childish Gambino|This Is America
2018|5|Amy Shark|I Said Hi
2018|6|Dean Lewis|Be Alright
2018|7|Mallrat|Groceries
2018|8|Billie Eilish|when the party's over
2018|9|Ruby Fields|Dinosaurs
2018|10|Ocean Alley|Knees
2018|11|Skegss|Up In The Clouds
2018|12|The Wombats|Turn
